ClusterID,ClusterName,Organism,subunits(UniProt IDs),subunits(Entrez IDs),subunits(Protein name),subunits(Gene name),Complex comment,subunits(Gene name syn)
373,Vacuolar ATPase,Bovine,P11019;P21282;P23956;P31404;P31407;P31408;P39942;P40682;P61420;P79251;P81103;P81134;Q28029;Q29466,287017;338089;550622;282147;338059;338082;404152;327687;282148;281641;338075;513520;282405;286768,"V-type proton ATPase subunit E 1 ;V-type proton ATPase subunit C 1 ;V-type proton ATPase 16 kDa proteolipid subunit ;V-type proton ATPase catalytic subunit A ;V-type proton ATPase subunit B, kidney isoform ;V-type proton ATPase subunit B, brain isoform ;V-type proton ATPase subunit D ;V-type proton ATPase subunit S1 ;V-type proton ATPase subunit d 1 ;V-type proton ATPase subunit G 1 ;V-type proton ATPase subunit e 1 ;Renin receptor ;V-type proton ATPase subunit F ;V-type proton ATPase 116 kDa subunit a isoform 1",ATP6V1E1;ATP6V1C1;ATP6V0C;ATP6V1A;ATP6V1B1;ATP6V1B2;ATP6V1D;ATP6AP1;ATP6V0D1;ATP6V1G1;ATP6V0E1;ATP6AP2;ATP6V1F;ATP6V0A1,This ATPase was isolated from bovine chromaffin granules.,ATP6E;ATP6C VATC;ATP6C ATP6L;ATP6A1 ATP6V1A1;ATP6B1;ATP6B2;ATP6M VATD;ATP6IP1 ATP6S1;ATP6D VPATPD;ATP6G ATP6G1;ATP6H ATP6V0E;ATP6IP2;ATP6S14 VATF;ATP6N1 VPP1
374,MSH2-MSH6 complex,Human,P43246;P52701,4436;2956,DNA mismatch repair protein Msh2 ;DNA mismatch repair protein Msh6,MSH2;MSH6,None,;GTBP
375,MSH2-MSH3 complex,Human,P20585;P43246,4437;4436,DNA mismatch repair protein Msh3 ;DNA mismatch repair protein Msh2,MSH3;MSH2,None,DUC1 DUG;
376,PCNA-MutS-alpha-MutL-alpha-DNA complex,Human,P12004;P40692;P43246;P52701;P54278,5111;4292;4436;2956;5395,Proliferating cell nuclear antigen ;DNA mismatch repair protein Mlh1 ;DNA mismatch repair protein Msh2 ;DNA mismatch repair protein Msh6 ;Mismatch repair endonuclease PMS2,PCNA;MLH1;MSH2;MSH6;PMS2,"MutS-alpha, consisting of MSH2 and MSH6 proteins, and PCNA bind to DNA to form an initial complex. MutL-alpha, consisting of MLH1 and PMS2, binds to the complex when the DNA is damaged.",;COCA2;;GTBP;PMSL2
379,MutL-alpha complex,Human,P40692;P54278,4292;5395,DNA mismatch repair protein Mlh1 ;Mismatch repair endonuclease PMS2,MLH1;PMS2,"Normal levels of hMLH1 protein appear to be important in maintaining normal levels of hPMS1 and hPMS2 proteins, suggesting that PMS proteins are unstable in the absence of hMLH1.",COCA2;PMSL2
380,MutL-beta complex,Human,P40692;P54277,4292;5378,DNA mismatch repair protein Mlh1 ;PMS1 protein homolog 1,MLH1;PMS1,"The results provide evidence for the association of hPMS1 with hMLH1 as a heterodimer in human epithelial cancer cells. Normal levels of hMLH1 protein appear to be important in maintaining normal levels of hPMS1 and hPMS2 proteins, suggesting that PMS proteins are unstable in the absence of hMLH1.",COCA2;PMSL1
382,"Respiratory chain complex I, mitochondrial",Mouse,O09111;O35683;P03888;P03899;P03911;P52503;Q3UIU2;Q62425;Q7TMF3;Q8K3J1;Q91VD9;Q91WD5;Q91WP8;Q91YT0;Q99LC3;Q99LY9;Q9CPP6;Q9CPU2;Q9CQ54;Q9CQ75;Q9CQ91;Q9CQC7;Q9CQH3;Q9CQJ8;Q9CQZ5;Q9CQZ6;Q9CR21;Q9CR61;Q9CXZ1;Q9D6J5;Q9D6J6;Q9D8B4;Q9DC69;Q9DC70;Q9DCJ5;Q9DCS9;Q9DCT2;Q9ERS2;Q9MD82;Q9Z1P6,104130;54405;17716;17718;17719;407785;230075;17992;66414;225887;227197;226646;78330;17995;67273;595136;68202;68198;68197;17991;66091;68194;66046;66218;67130;66495;70316;66916;17993;67264;72900;69875;66108;75406;68375;68342;68349;67184;17721;66416,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 ;NADH-ubiquinone oxidoreductase chain 1 ;NADH-ubiquinone oxidoreductase chain 3 ;NADH-ubiquinone oxidoreductase chain 4 ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 ;Cytochrome c oxidase subunit NDUFA4;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial ;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial ;NADH dehydrogenase ;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 subunit C2 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 ;Acyl carrier protein, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial ;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 ;NADH-ubiquinone oxidoreductase chain 5 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7",Ndufb11;Ndufa1;Mtnd1;Mtnd3;Mtnd4;Ndufs6;Ndufb6;Ndufa4;Ndufa12;Ndufs8;Ndufs1;Ndufs2;Ndufv3;Ndufv1;Ndufa10;Ndufs5;Ndufa5;Ndufb2;Ndufc2;Ndufa2;Ndufa3;Ndufb4;Ndufb5;Ndufb9;Ndufa6;Ndufb3;Ndufab1;Ndufb7;Ndufs4;Ndufb8;Ndufv2;Ndufa11;Ndufa9;Ndufs7;Ndufa8;Ndufb10;Ndufs3;Ndufa13;mt-Nd5;Ndufa7,Complex I is the first multiprotein complex of the OXPHOS system and participates in the formation of a proton gradient across the inner mitochondrial membrane coupled to transfer of electrons from NADH to ubiquinone.,Np15;;mt-Nd1 Nd1;mt-Nd3 Nd3;mt-Nd4 Nd4;Ip13;Gm137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grim19;mt-Nd6 ND5 Nd5;
384,Caveolar macromolecular signaling complex,Mouse,P18762;P31324;P51637;P63094;P97490;Q01815;Q76MZ3,11555;19088;12391;14683;11514;12288;51792,Beta-2 adrenergic receptor ;cAMP-dependent protein kinase type II-beta regulatory subunit;Caveolin-3 ;Guanine nucleotide-binding protein G;Adenylate cyclase type 8 ;Voltage-dependent L-type calcium channel subunit alpha-1C ;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Adrb2;Prkar2b;Cav3;Gnas;Adcy8;Cacna1c;Ppp2r1a,"Anti-Ca(v)1.2 used for coimmunoprecipitation. The authors didn't differentiate between the different types of adenylate cyclases, Adcy8 was chosen due to its molecular weight, complex isolated from ventricular myocytes.",Adrb2r;;;Gnas1;;Cach2 Cacn2 Cacnl1a1 Cchl1a1;
386,"Ubiquitin E3 ligase (UBADC1, RNF123)",Human,Q5XPI4;Q9BSL1,63891;10422,E3 ubiquitin-protein ligase RNF123 ;Ubiquitin-associated domain-containing protein 1,RNF123;UBAC1,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The cyclin-dependent kinase inhibitor p27(Kip1) is degraded at the G0-G1 transition of the cell cycle by the ubiquitin-proteasome pathway. Overexpression of KPC promoted the degradation of p27(Kip1), whereas a dominant-negative mutant of KPC1 delayed p27(Kip1) degradation. The nuclear export of p27(Kip1) by CRM1 seems to be necessary for KPC-mediated proteolysis.",KPC1;GBDR1 KPC2 UBADC1
387,MCM complex,Human,P25205;P33991;P33992;P33993;P49736;Q14566,4172;4173;4174;4176;4171;4175,DNA replication licensing factor MCM3 ;DNA replication licensing factor MCM4 ;DNA replication licensing factor MCM5 ;DNA replication licensing factor MCM7 ;DNA replication licensing factor MCM2 ;DNA replication licensing factor MCM6,MCM3;MCM4;MCM5;MCM7;MCM2;MCM6,None,;CDC21;CDC46;CDC47 MCM2;BM28 CCNL1 CDCL1 KIAA0030;
389,ORC complex (origin recognition complex),Human,O43913;O43929;Q13415;Q13416;Q9UBD5;Q9Y5N6,5001;5000;4998;4999;23595;23594,Origin recognition complex subunit 5;Origin recognition complex subunit 4;Origin recognition complex subunit 1 ;Origin recognition complex subunit 2;Origin recognition complex subunit 3 ;Origin recognition complex subunit 6,ORC5;ORC4;ORC1;ORC2;ORC3;ORC6,Orc6 is only weakly associated with the ORC complex.,ORC5L;ORC4L;ORC1L PARC1;ORC2L;LATHEO ORC3L;ORC6L
390,"Ubiquitin E3 ligase (SKP1A, FBXW2, CUL1)",Human,P63208;Q13616;Q9UKT8,6500;8454;26190,S-phase kinase-associated protein 1 ;Cullin-1 ;F-box/WD repeat-containing protein 2,SKP1;CUL1;FBXW2,The GCM proteins GCMa/1 and GCMb/2 are novel zinc-containing transcription factors critical for glial cell differentiation in fly and for placental as well as parathyroid gland development in mouse. Experiments identify the SCF(hFBW2) E3 complex as the key machinery that targets hGCMa to the ubiquitin-proteasome degradation system.,EMC19 OCP2 SKP1A TCEB1L;;FBW2 FWD2
391,"Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)",Human,P62877;Q13619;Q16531,9978;8451;1642,E3 ubiquitin-protein ligase RBX1 ;Cullin-4A ;DNA damage-binding protein 1,RBX1;CUL4A;DDB1,Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.,RNF75 ROC1;;XAP1
393,"Succinyl-CoA synthetase, GDP-forming",Human,P53597;Q96I99,8802;8801,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial ;Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG1;SUCLG2,None,;
394,"Succinyl-CoA synthetase, ADP-forming",Human,P53597;Q9P2R7,8802;8803,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial ;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",SUCLG1;SUCLA2,None,;
398,Egasyn-glucuronidase complex,Mouse,P12265;Q64176,110006;13897,Beta-glucuronidase ;Carboxylesterase 1E,Gusb;Ces1e,A region including the serpin-like sequence in the glucuronidase propeptide is essential for complex formation with egasyn and ER retention of glucuronidase.,Gus Gus-s;Es22
404,"Isocitrate dehydrogenase, cytoplasmic",Human,O75874,3417,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,Isocitrate dehydrogenases (IDHs) catalyze the oxidative decarboxylation of isocitrate to alpha-ketoglutarate. The isocitrate dehydrogenase complex appears as homodimer.,PICD
405,Glucosidase 2,Rat,P14314;Q14697,5589;23193,Glucosidase 2 subunit beta ;Neutral alpha-glucosidase AB,PRKCSH;GANAB,None,G19P1;G2AN KIAA0088
406,N-acetylglucosamine-1-phosphotransferase,Bovine,Q3T906;Q58CS8,79158;508713,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta ;N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTAB;GNPTG,None,GNPTA KIAA1208;
407,"Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)",Human,P33402;Q02153,2977;2983,Guanylate cyclase soluble subunit alpha-2 ;Guanylate cyclase soluble subunit beta-1,GUCY1A2;GUCY1B3,Two soluble guanylyl cyclase complexes were found in mammals.  The GUCY1A3-GUCY1B3 complex exhibits higher guanylyl cyclase activity than the GUCY1A2-GUCY1B3 complex.,GUC1A2 GUCSA2;GUC1B3 GUCSB3 GUCY1B1
408,"Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)",Human,Q02108;Q02153,2982;2983,Guanylate cyclase soluble subunit alpha-3 ;Guanylate cyclase soluble subunit beta-1,GUCY1A3;GUCY1B3,Two soluble guanylyl cyclase complexes were found in mammals.  The GUCY1A3-GUCY1B3 complex exhibits higher guanylyl cyclase activity than the GUCY1A2-GUCY1B3 complex.,GUC1A3 GUCSA3 GUCY1A1;GUC1B3 GUCSB3 GUCY1B1
409,Gamma-glutamylcysteine synthetase,Rat,P19468;P48508,25283;29739,Glutamate--cysteine ligase catalytic subunit ;Glutamate--cysteine ligase regulatory subunit,Gclc;Gclm,None,Glclc;Glclr
413,"(ER)-localized multiprotein complex, Ig heavy chains associated",Mouse,P08003;P08113;P09103;P20029;P24369;Q6P5E4;Q99KV1;Q9ESP1;Q9JKR6;Q9JLK7,12304;22027;18453;14828;19035;320011;67838;64136;12282;29867,Protein disulfide-isomerase A4 ;Endoplasmin ;Protein disulfide-isomerase ;78 kDa glucose-regulated protein ;Peptidyl-prolyl cis-trans isomerase B ;UDP-glucose:glycoprotein glucosyltransferase 1 ;DnaJ homolog subfamily B member 11 ;Stromal cell-derived factor 2-like protein 1 ;Hypoxia up-regulated protein 1 ;Calcium-binding protein 1,Pdia4;Hsp90b1;P4hb;Hspa5;Ppib;Uggt1;Dnajb11;Sdf2l1;Hyou1;Cabp1,"Complex isolated in mouse lymphoma cell lines Ag8(8). The assembly of the chaperones with each other is not dependent on the presence of unassembled, unfolded heavy chains but rather that unassembled heavy chains may bind to this preformed ER chaperone network.",Cai Erp72;Grp94 Tra-1 Tra1;Pdia1;Grp78;;Gt Ugcgl1 Uggt Ugt1 Ugtr;;;Grp170;
416,"Nitric oxide synthase-dystrophin complex, skeletal muscle",Mouse,P11531;Q9Z0J4,13405;18125,"Dystrophin;Nitric oxide synthase, brain",Dmd;Nos1,The authors describe that  aberrant regulation of nNOS may contribute to preferential degeneration of fast-twitch muscle fibers in DMD.,;
417,COX-2-Cav-3 complex,Rat,P35355;P51638,29527;29161,Prostaglandin G/H synthase 2 ;Caveolin-3,Ptgs2;Cav3,Chondrocytes were stimulated with Cd.,Cox-2 Cox2;
418,H/ACA ribonucleoprotein complex,Rat,P40615;Q6AYA1;Q9CQS2;Q9CRB2,170944;499709;66181;52530,H/ACA ribonucleoprotein complex subunit 4 ;H/ACA ribonucleoprotein complex subunit 1 ;H/ACA ribonucleoprotein complex subunit 3 ;H/ACA ribonucleoprotein complex subunit 2,Dkc1;Gar1;Nop10;Nhp2,"NAP57, GAR1, NHP2, and NOP10, and a snoRNA were apparently sufficient for site-specific pseudouridylation of synthetic rRNA substrates. Except for physiological concentration of salt, no exogenous factors were required for catalysis. The box H/ACA snoRNPs associated with phosphorylated but not dephosphorylated Nopp140 and were active in rRNA pseudouridylation independently of their Nopp140 association.",Nap57;Nola1;Nola3;Nola2
419,Farnesyltransferase,Human,P49354;P49356,2339;2342,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha ;Protein farnesyltransferase subunit beta,FNTA;FNTB,None,;
420,SAP97-Cav-3-Kv1.5 complex,Mammalia,P19024;P51637;Q811D0,25470;12391;13383,Potassium voltage-gated channel subfamily A member 5 ;Caveolin-3 ;Disks large homolog 1,Kcna5;Cav3;Dlg1,The results show that a scaffolding complex containing Cav-3 and SAP97 can recruit Kv1.5 by means of multiple protein-protein interactions.,;;Dlgh1
422,Beta-dystroglycan-caveolin-3 complex,Human,P56539;Q14118,859;1605,Caveolin-3 ;Dystroglycan,CAV3;DAG1,Caveolin-3 can effectively block the interaction of dystrophin with beta -dystroglycan.,;
423,EXO1-MLH1-PMS2 complex,Human,P40692;P54278;Q9UQ84,4292;5395;9156,DNA mismatch repair protein Mlh1 ;Mismatch repair endonuclease PMS2 ;Exonuclease 1,MLH1;PMS2;EXO1,EXO1 plays a role in events at the replication sites as well as a functional role in the DNA mismatch repair and/or recombination processes.,COCA2;PMSL2;EXOI HEX1
424,EXO1-MLH1-PCNA complex,Human,P12004;P40692;Q9UQ84,5111;4292;9156,Proliferating cell nuclear antigen ;DNA mismatch repair protein Mlh1 ;Exonuclease 1,PCNA;MLH1;EXO1,EXO1 plays a role in events at the replication sites as well as a functional role in the DNA mismatch repair and/or recombination processes.,;COCA2;EXOI HEX1
425,MSH4-MSH5-GPS2 complex,Human,O15457;O43196;Q13227,4438;4439;2874,MutS protein homolog 4 ;MutS protein homolog 5 ;G protein pathway suppressor 2,MSH4;MSH5;GPS2,The association with GPS2 is mediated through the interface of hMSH4-hMSH5 complex and the N-terminal region of GPS2.,;;
426,Meprin A,Human,Q16819;Q16820,4224;4225,Meprin A subunit alpha ;Meprin A subunit beta,MEP1A;MEP1B,None,;
427,Tripeptidyl peptidase,Mouse,Q64514,22019,Tripeptidyl-peptidase 2,Tpp2,"TPPII is a homomeric high molecular-weight protease with an estimated mass between 5 and 9 MD. The particle is larger than the 26S proteasome and has a rod-shaped, dynamic supramolecular structure. TPPII exhibits enhanced activity in proteasome inhibitor-adapted cells and degrades polypeptides by exo- as well as predominantly trypsin-like endoproteolytic cleavage.",None
428,Molybdopterin synthase,Human,O96007;O96033,4338;4338,Molybdopterin synthase catalytic subunit ;Molybdopterin synthase sulfur carrier subunit,MOCS2;MOCS2,"Molybdenum cofactor (Moco)1 biosynthesis is an ancient, ubiquitous, and highly conserved pathway leading to the biochemical activation of molybdenum. Moco is essential for the activity of sulfite oxidase, xanthine dehydrogenase, and aldehyde oxidase in humans. MOCS2A and MOCS2B are encoded on a single bicistronic mRNA.",MCBPE MOCO1;MOCO1
429,"Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)",Human,Q8NEB9;Q99570,5289;30849,Phosphatidylinositol 3-kinase catalytic subunit type 3 ;Phosphoinositide 3-kinase regulatory subunit 4,PIK3C3;PIK3R4,The homologous Vps34p-Vps15p complex in yeast mediates protein trafficking.,VPS34;VPS15
430,18S U11/U12 snRNP,Human,O43143;O75533;P14678;P62304;P62306;P62308;P62314;P62316;P62318;P67809;Q13435;Q15393;Q15427;Q15696;Q16560;Q6IEG0;Q6P2Q9;Q8N8D1;Q8TBF4;Q96LT9;Q9BV90;Q9BWJ5;Q9UDW3;Q9Y3B4,1665;23451;6628;6635;6636;6637;6632;6633;6634;4904;10992;23450;10262;8233;11066;154007;10594;10081;85437;55599;79622;83443;55954;51639,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 ;Splicing factor 3B subunit 1 ;Small nuclear ribonucleoprotein-associated proteins B and B' ;Small nuclear ribonucleoprotein E ;Small nuclear ribonucleoprotein F ;Small nuclear ribonucleoprotein G ;Small nuclear ribonucleoprotein Sm D1 ;Small nuclear ribonucleoprotein Sm D2 ;Small nuclear ribonucleoprotein Sm D3 ;Nuclease-sensitive element-binding protein 1 ;Splicing factor 3B subunit 2 ;Splicing factor 3B subunit 3 ;Splicing factor 3B subunit 4 ;U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 ;U11/U12 small nuclear ribonucleoprotein 35 kDa protein ;U11/U12 small nuclear ribonucleoprotein 48 kDa protein ;Pre-mRNA-processing-splicing factor 8 ;Programmed cell death protein 7 ;Zinc finger CCHC-type and RNA-binding motif-containing protein 1 ;RNA-binding protein 40 ;U11/U12 small nuclear ribonucleoprotein 25 kDa protein ;Splicing factor 3B subunit 5 ;Zinc finger matrin-type protein 5 ;Splicing factor 3B subunit 6,DHX15;SF3B1;SNRPB;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;YBX1;SF3B2;SF3B3;SF3B4;ZRSR2;SNRNP35;SNRNP48;PRPF8;PDCD7;ZCRB1;RNPC3;SNRNP25;SF3B5;ZMAT5;SF3B6,"U12-type spliceosomes excise U12-type introns, which comprise less than 1% of all human introns.",DBP1 DDX15;SAP155;COD SNRPB1;;PBSCF;PBSCG;;SNRPD1;;NSEP1 YB1;SAP145;KIAA0017 SAP130;SAP49;U2AF1-RS2 U2AF1L2 U2AF1RS2 URP;HM1 U1SNRNPBP;C6orf151;PRPC8;;;KIAA1839 RBM40 RNP;C16orf33;SF3B10;;SAP14 SF3B14 SF3B14A
432,N-NOS-CHIP-HSP70-1 complex,Human,P08107;P29475;Q9UNE7,None;4842;10273,"Heat shock 70 kDa protein 1;Nitric oxide synthase, brain ;E3 ubiquitin-protein ligase CHIP",HSPA1A;NOS1;STUB1,"Cells for analysis were treated with lactacystin, a selective inhibitor of the proteasome. The authors found that CHIP acts to ubiquitylate nNOS and that hsp70 and hsp40 can facilitate this conjugation reaction.","HSPA1, HSPA1B;;CHIP"
433,BASC complex (BRCA1-associated genome surveillance complex),Human,O60934;P35249;P35250;P35251;P38398;P40692;P43246;P49959;P52701;P54132;Q13315;Q92878,4683;5984;5982;5981;672;4292;4436;4361;2956;641;472;10111,Nibrin ;Replication factor C subunit 4 ;Replication factor C subunit 2 ;Replication factor C subunit 1 ;Breast cancer type 1 susceptibility protein ;DNA mismatch repair protein Mlh1 ;DNA mismatch repair protein Msh2 ;Double-strand break repair protein MRE11A ;DNA mismatch repair protein Msh6 ;Bloom syndrome protein ;Serine-protein kinase ATM ;DNA repair protein RAD50,NBN;RFC4;RFC2;RFC1;BRCA1;MLH1;MSH2;MRE11A;MSH6;BLM;ATM;RAD50,The BASC complex may serve as a sensor for DNA damage.,NBS NBS1 P95;;;RFC140;RNF53;COCA2;;HNGS1 MRE11;GTBP;RECQ2 RECQL3;;
437,AQP2-binding multiprotein force generator complex,Rat,P13832;P16086;P18666;P21107;P34080;P48037;P60711;P63259;Q07936;Q62812;Q68FP1;Q6I7S1;Q7TQ08;Q9EQX4;Q9QXQ0,501203;64159;50685;59069;25386;79125;81822;287876;56611;25745;296654;None;298975;108897;63836,"Myosin regulatory light chain RLC-A ;Spectrin alpha chain, non-erythrocytic 1 ;Myosin regulatory light chain 12B ;Tropomyosin alpha-3 chain ;Aquaporin-2 ;Annexin A6 ;Actin, cytoplasmic 1 ;Actin, cytoplasmic 2 ;Annexin A2 ;Myosin-9 ;Gelsolin ;GTPase-activating protein;Scinderin;Allograft inflammatory factor 1-like ;Alpha-actinin-4",Rlc-a;Sptan1;Myl12b;Tpm3;Aqp2;Anxa6;Actb;Actg1;Anxa2;Myh9;Gsn;Sipa1;Scin;Aif1l;Actn4,None,;Spna2 Spta2;Mrlc2 Mrlcb Mylc2b;Tpm-5 Tpm5;;Anx6;;Actg;Anx2;;;SPA-1;Scind;Iba2;
438,GCN5-TRRAP histone acetyltransferase complex,Human,O75486;O75528;O75529;P38398;P43246;P52701;Q12962;Q16594;Q92830;Q9Y4A5,8464;10474;27097;672;4436;2956;6881;6880;2648;8295,Transcription initiation protein SPT3 homolog ;Transcriptional adapter 3 ;TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L ;Breast cancer type 1 susceptibility protein ;DNA mismatch repair protein Msh2 ;DNA mismatch repair protein Msh6 ;Transcription initiation factor TFIID subunit 10 ;Transcription initiation factor TFIID subunit 9 ;Histone acetyltransferase KAT2A ;Transformation/transcription domain-associated protein,SUPT3H;TADA3;TAF5L;BRCA1;MSH2;MSH6;TAF10;TAF9;KAT2A;TRRAP,hGCN5/TRRAP HAT complex subclass is required for the multiple functions of BRCA1 (PMID:16260778).,SPT3;ADA3 TADA3L;PAF65B;RNF53;;GTBP;TAF2A TAF2H TAFII30;TAF2G TAFII31;GCN5 GCN5L2 HGCN5;PAF400
440,"Succinate dehydrogenase complex II (EC 1.3.5.1), mitochondrial",Mouse,Q8K2B3;Q9CQA3;Q9CXV1;Q9CZB0,66945;67680;66925;66052,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial ;Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial ;Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial ;Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",Sdha;Sdhb;Sdhd;Sdhc,"The enzyme complex is a heterotetramer divided into three domains:  SDHA, the catalytic domain; SDHB, the electron transfer subunit; SDHC/SDHD, the dimeric membrane anchor that contains beta-type heme.",;;;
